id,product-name,console-name,price-in-pennies,include-string,condition-string,sku,description,photos
5776,Sly Cooper,Playstation 2,1177,"Game, Box, Manual",Normal wear,,greatest hits,
5263,Ghost Recon,Playstation 2,535,"Game, Box, Manual",Normal wear,,,
3712,Body Harvest,Nintendo 64,1577,Game only,Normal wear,,,
6179,Dead or Alive Ultimate,Xbox,1017,"Game, Box, Manual",Normal wear,,,
5795,Spawn Armageddon,Playstation 2,1999,"Game, Box, Manual",Normal wear,,,
5808,SpongeBob SquarePants Battle for Bikini Bottom,Playstation 2,2406,"Game, Box",Normal wear,,,
12920,Treasures of the Deep,Playstation,1400,"Game, Box, Manual",Normal wear,,,
5049,Call of Duty 2 Big Red One,Playstation 2,632,"Game, Box, Manual",Normal wear,,,
5166,Ecco the Dolphin Defender of the Future,Playstation 2,1200,"Game, Box, Manual",Normal wear,,,
3541,Sonic Adventure DX,Gamecube,2999,"Game, Box, Manual",Normal wear,,,
4768,Spyro Ripto's Rage,Playstation,1469,"Game, Box",Normal wear,,,
15277,Haunted House,Atari 2600,397,Game only,Normal wear,,,
3587,Super Smash Bros. Melee,Gamecube,5832,"Game, Box, Manual",Normal wear,,,
5458,Metal Gear Solid 2 Substance,Playstation 2,2377,"Game, Box, Manual",Normal wear,,,
5105,Dark Cloud 2,Playstation 2,3093,"Game, Box, Manual",Normal wear,,,
4634,Oddworld Abes Exoddus,Playstation,899,Game only,Normal wear,,,
3157,All-Star Baseball 2003,Gamecube,438,"Game, Box",Normal wear,,,
12202,Battletank,NES,881,Game only,Normal wear,,,
7471,Tiger Woods PGA Tour 08,Playstation 2,569,"Game, Box, Manual",Normal wear,,,
4764,SpongeBob SquarePants Super Sponge,Playstation,714,"Game, Box, Manual",Normal wear,,,
5192,Extermination,Playstation 2,703,Game only,Normal wear,,,
12440,Star Voyager,NES,509,Game only,Normal wear,,,
5447,Medal of Honor Rising Sun,Playstation 2,541,"Game, Box, Manual",Normal wear,,,
6121,Call of Duty 3,Xbox,623,"Game, Box, Manual",Normal wear,,,
8893,Earthworm Jim,Sega Genesis,2375,Game only,Normal wear,,,
5273,God of War,Playstation 2,954,"Game, Box, Manual",Normal wear,,,
22048,Jak and Daxter: The Lost Frontier,Playstation 2,1699,"Game, Box, Manual",Normal wear,,,
6367,Manhunt,Xbox,1800,"Game, Box, Manual",Normal wear,,,
4320,Chrono Cross,Playstation,2627,"Game, Box, Manual",Normal wear,,,
10228,Yoshi,NES,1003,Game only,Normal wear,,,
5309,Harry Potter Chamber of Secrets,Playstation 2,997,"Game, Box, Manual",Normal wear,,,
4479,Gunfighter The Legend of Jesse James,Playstation,645,"Game, Box, Manual",Normal wear,,,
9064,Greatest Heavyweights,Sega Genesis,825,Game only,Normal wear,,,
11060,Samurai Warriors,Playstation 2,767,"Game, Box, Manual",Normal wear,,,
3144,1080 Avalanche,Gamecube,1887,"Game, Box, Manual",Normal wear,,,
12821,Rageball,Playstation,450,"Game, Box, Manual",Normal wear,,,
3612,Tiger Woods 2003,Gamecube,507,"Game, Box, Manual",Normal wear,,,
4942,.hack Mutation,Playstation 2,3814,"Game, Box, Manual",Normal wear,,,
6641,Tao Feng Fist of the Lotus,Xbox,757,"Game, Box, Manual",Normal wear,,,
14830,Elder Scrolls III Morrowind [Game of the Year],Xbox,2649,"Game, Box, Manual",Normal wear,,,
10423,Army Men Air Attack 2,Playstation 2,736,"Game, Box, Manual",Normal wear,,,
6869,Brain Lord,Super Nintendo,5431,"Game, Box",Normal wear,,,
6941,Goof Troop,Super Nintendo,1797,Game only,Normal wear,,,
37635,Final Fantasy Anthology [Greatest Hits],Playstation,1299,"Game, Box, Manual",Normal wear,,,
2455,Pokemon Emerald,GameBoy Advance,6353,Game only,Normal wear,,,
4854,Tomb Raider III,Playstation,947,"Game, Box, Manual",Normal wear,,,
5191,Evolution Skateboarding,Playstation 2,604,"Game, Box, Manual",Normal wear,,,
8859,Dr. Mario,NES,713,Game only,Normal wear,,,
4857,Tomba 2 The Evil Swine Return,Playstation,9500,"Game, Box, Manual",Normal wear,,,
3154,Aggressive Inline,Gamecube,699,"Game, Box, Manual",Normal wear,,,
10310,Manhunt 2,Playstation 2,2862,"Game, Box, Manual",Normal wear,,,
5688,Resident Evil Dead Aim,Playstation 2,2184,Game only,Normal wear,,,
6560,Sega GT 2002 JSRF Combo,Xbox,1193,"Game, Box, Manual",Normal wear,,,
49710,A Bug's Life [Greatest Hits],Playstation,707,"Game, Box, Manual",Normal wear,,,
5151,Drakengard 2,Playstation 2,5923,"Game, Box, Manual",Normal wear,,,
9260,Lunar Pool,NES,481,Game only,Normal wear,,,
3858,Nintendo 64 System,Nintendo 64,9468,Console only,Normal wear,,,
3703,Battletanx Global Assault,Nintendo 64,3849,"Game, Box, Manual",Normal wear,,,
12552,Wordtris,Super Nintendo,540,Game only,Normal wear,,,
14327,Raiden III,Playstation 2,2691,"Game, Box, Manual",Normal wear,,,
3958,WCW vs NWO Revenge,Nintendo 64,1497,"Game, Manual",Normal wear,,,
4549,Lunar Silver Star Story Complete,Playstation,12250,"Game, Box, Manual",Normal wear,,,
5285,Grand Theft Auto San Andreas,Playstation 2,1000,"Game, Box, Manual",Normal wear,,,
3470,Paper Mario Thousand Year Door,Gamecube,13771,"Game, Box, Manual",Normal wear,,,
6587,Spartan Total Warrior,Xbox,808,"Game, Box, Manual",Normal wear,,,
12494,Top Gun,NES,520,Game only,Normal wear,,,
9441,NCAA College Football 2K2,Sega Dreamcast,1370,"Game, Box, Manual",Normal wear,,,
8747,Code Name Viper,NES,892,Game only,Normal wear,,,
13743,Nintendo NES Console,NES,1887,Console only,Normal wear,,,
7505,WWF Raw,Super Nintendo,1180,Game only,Normal wear,,,
9964,Tetris,NES,935,Game only,Normal wear,,,
5460,Metal Gear Solid 3 Subsistence,Playstation 2,2062,"Game, Box",Normal wear,,,
12169,1942,NES,1337,Game only,Normal wear,,,
3624,Tony Hawk Underground 2,Gamecube,1908,"Game, Box",Normal wear,,,
12517,Wheel of Fortune,NES,667,"Game, Manual",Normal wear,,,
12449,Super Dodge Ball,NES,1379,Game only,Normal wear,,,
9984,The House of the Dead 2,Sega Dreamcast,1651,Game only,Normal wear,,,
7149,Super Punch Out,Super Nintendo,2209,Game only,Normal wear,,,
5457,Metal Gear Solid 2,Playstation 2,775,"Game, Box, Manual",Normal wear,,,
3583,Super Mario Strikers,Gamecube,4228,Game only,Normal wear,,,
3732,Conker's Bad Fur Day,Nintendo 64,12630,"Game, Manual",Normal wear,,,
9848,Star Tropics,NES,1469,"Game, Manual",Normal wear,,,
10221,WWF Wrestlemania,NES,543,Game only,Normal wear,,,
6505,Pac-Man World 3,Xbox,1183,"Game, Box",Normal wear,,,
15395,Pitfall,Atari 2600,848,Game only,Normal wear,,,
46423,Shin Megami Tensei: Persona 3 [Limited Edition],Playstation 2,7396,"Game, Box, Manual",Normal wear,,,
6041,Yu-Gi-Oh Duelists of the Roses,Playstation 2,1574,"Game, Box",Normal wear,,,
6178,Dead or Alive Beach Volleyball,Xbox,2030,"Game, Box, Manual",Normal wear,,,
12419,Silent Service,NES,422,Game only,Normal wear,,,
10058,Toy Story,Sega Genesis,752,Game only,Normal wear,,,
12553,NBA Hang Time,Super Nintendo,877,Game only,Normal wear,,,
12329,Metal Gear,NES,1098,Game only,Normal wear,,,
6096,Blinx Time Sweeper,Xbox,1122,"Game, Box, Manual",Normal wear,,,
11995,Ice Hockey,NES,413,Game only,Normal wear,,,
5828,Star Wars Battlefront 2,Playstation 2,1299,"Game, Box, Manual",Normal wear,,,
5164,Dynasty Warriors 4 Xtreme Legends,Playstation 2,611,Game only,Normal wear,,,
9331,Metroid,NES,2895,"Game, Manual",Normal wear,,,
3716,Buck Bumble,Nintendo 64,1786,Game only,Normal wear,,,
2216,Golden Sun The Lost Age,GameBoy Advance,6700,"Game, Box, Manual",Normal wear,,,
11175,Dynasty Warriors 5 Xtreme Legend,Playstation 2,999,"Game, Box, Manual",Normal wear,,,
7510,Zelda Twilight Princess,Wii,1644,"Game, Box, Manual",Normal wear,,,
6898,Dig and Spike Volleyball,Super Nintendo,1094,"Game, Manual",Normal wear,,,
9818,Spiderman Friend or Foe,Playstation 2,781,"Game, Box",Normal wear,,,
9737,Shinobi Legions,Sega Saturn,10000,"Game, Box, Manual",Normal wear,,,
4469,Gran Turismo 2,Playstation,1142,"Game, Box, Manual",Normal wear,,,
9041,Gods,Sega Genesis,1355,Game only,Normal wear,,,
5301,Gun,Playstation 2,899,"Game, Box, Manual",Normal wear,,,
15376,Outlaw,Atari 2600,406,Game only,Normal wear,,,
12431,Solar Jetman,NES,712,Game only,Normal wear,,,
3915,Star Wars Rogue Squadron,Nintendo 64,1006,Game only,Normal wear,,,
4773,Star Ocean: The Second Story,Playstation,4800,"Game, Box, Manual",Normal wear,,,
12406,Seicross,NES,600,Game only,Normal wear,,,
6926,Final Fantasy III,Super Nintendo,4747,Game only,Normal wear,,,
5686,Resident Evil 4,Playstation 2,1070,"Game, Box, Manual",Normal wear,,,
3585,Super Monkey Ball,Gamecube,2581,"Game, Box",Normal wear,,,
9929,Tecmo Bowl,NES,1461,"Game, Manual",Normal wear,,,
10417,Crash Tag Team Racing,Playstation 2,1086,"Game, Box, Manual",Normal wear,,,
4853,Tomb Raider II,Playstation,1093,"Game, Box, Manual",Normal wear,,,
12154,Desert Commander,NES,535,Game only,Normal wear,,,
7138,Super Mario All-Stars,Super Nintendo,1994,Game only,Normal wear,,,
4482,Harry Potter Sorcerers Stone,Playstation,861,"Game, Box, Manual",Normal wear,,,
7302,Crash Twinsanity,Playstation 2,1499,"Game, Box, Manual",Normal wear,,,
16236,Bill Walsh College Football,Super Nintendo,330,Game only,Normal wear,,,
21103,Red Steel 2,Wii,1028,"Game, Box, Manual",Normal wear,,,
13100,Crue Ball,Sega Genesis,2604,"Game, Box, Manual",Normal wear,,,
10043,Tomb Raider Last Revelation,Sega Dreamcast,1150,"Game, Box, Manual",Normal wear,,,
12384,Rambo,NES,976,Game only,Normal wear,,,
3898,Rush 2,Nintendo 64,523,Manual only,Normal wear,,,
3228,Crazy Taxi,Gamecube,1656,"Game, Box, Manual",Normal wear,,,
15582,Warlords,Atari 2600,548,Game only,Normal wear,,,
5785,SOCOM III US Navy Seals,Playstation 2,496,"Game, Box",Normal wear,,,
7256,Zombies Ate My Neighbors,Super Nintendo,3184,Game only,Normal wear,,,
3254,Donkey Kong Jungle Beat,Gamecube,2048,"Game, Box, Manual",Normal wear,,,
3924,Super Mario 64,Nintendo 64,4673,"Game, Manual",Normal wear,,,
20375,No More Heroes 2: Desperate Struggle,Wii,7249,"Game, Box, Manual",Normal wear,,,
13745,Mortal Kombat 3,Super Nintendo,4038,"Game, Box, Manual",Normal wear,,,
15523,Super Breakout,Atari 2600,499,Game only,Normal wear,,,
5926,Time Splitters 2,Playstation 2,2447,"Game, Box, Manual",Normal wear,,,
11519,Breakdown,Xbox,1259,"Game, Box, Manual",Normal wear,,,
10520,WWE Smackdown vs. Raw 2008,Playstation 2,799,Game only,Normal wear,,,
5757,Silent Hill 2,Playstation 2,8047,"Game, Box, Manual",Normal wear,,,
13879,Frank Thomas Big Hurt Baseball,Super Nintendo,386,Game only,Normal wear,,,
12264,Hydlide,NES,585,Game only,Normal wear,,,
13732,Mansion of Hidden Souls,Sega CD,3381,"Game, Box, Manual",No blemishes,,,
49850,Gran Turismo 4 [Greatest Hits],Playstation 2,494,Game only,Normal wear,,,
12534,Xenophobe,NES,625,Game only,Normal wear,,,
10839,Lester the Unlikely,Super Nintendo,1784,"Game, Manual",Normal wear,,,
37638,Final Fantasy Tactics [Greatest Hits],Playstation,2000,"Game, Box, Manual",Normal wear,,,
3764,F-Zero X,Nintendo 64,2934,Game only,Normal wear,,,
3936,Top Gear Hyper-Bike,Nintendo 64,1795,Game only,Normal wear,,,
10753,Ape Escape Pumped and Primed,Playstation 2,1875,"Game, Box",Normal wear,,,
5058,Castlevania Lament of Innocence,Playstation 2,1615,"Game, Box, Manual",Normal wear,,,
3773,Gauntlet Legends,Nintendo 64,3668,Game only,Normal wear,,,
6164,Crimson Skies,Xbox,592,"Game, Box, Manual",Normal wear,,,
4685,Rampage World Tour,Playstation,1600,"Game, Box, Manual",Normal wear,,,
12991,Sonic CD,Sega CD,7892,"Game, Box, Manual",No blemishes,,,
12445,Street Fighter 2010 the Final Fight,NES,3895,"Game, Box, Manual",Normal wear,,,
9488,Ninja Gaiden,NES,1148,Game only,Normal wear,,,
2333,Mario and Luigi Superstar Saga,GameBoy Advance,1806,Game only,Normal wear,,,
14692,Bill Walsh College Football,Sega CD,550,Game only,Normal wear,,,
5221,Fighter Maker 2,Playstation 2,1041,"Game, Box, Manual",Normal wear,,,
9789,Sonic the Hedgehog,Sega Genesis,2247,"Game, Box, Manual",Normal wear,,,
37687,Tekken 2 [Greatest Hits],Playstation,481,Game only,Normal wear,,,
7081,Secret of Mana,Super Nintendo,3746,Game only,Normal wear,,,
19653,Scooby-Doo First Frights,Playstation 2,1246,"Game, Box, Manual",Normal wear,,,
5388,Klonoa 2,Playstation 2,7437,"Game, Box, Manual",Normal wear,,,
5040,Burnout 2 Point of Impact,Playstation 2,619,Game only,Normal wear,,,
7462,Super R-Type,Super Nintendo,1245,Game only,Normal wear,,,
8468,Adventures of Bayou Billy,NES,585,Game only,Normal wear,,,
4252,Battletanx Global Assault,Playstation,897,"Game, Box, Manual",Normal wear,,,
12274,Iron Sword Wizards and Warriors II,NES,602,Game only,Normal wear,,,
7097,Spanky's Quest,Super Nintendo,1872,Game only,Normal wear,,,
12289,Kid Niki Radical Ninja,NES,1199,Game only,Normal wear,,,
15196,Defender,Atari 2600,486,Game only,Normal wear,,,
14705,Dracula Unleashed,Sega CD,982,Game only,Normal wear,,,
12120,Captain Skyhawk,NES,499,Game only,Normal wear,,,
4563,Medal of Honor Underground,Playstation,1103,"Game, Box, Manual",Normal wear,,,
9371,Mortal Kombat,Sega Genesis,737,Game only,Normal wear,,,
3304,Gameboy Player with Startup Disc,Gamecube,8291,Accessory only,Normal wear,,,
3510,Resident Evil Code Veronica X,Gamecube,10564,"Game, Box, Manual",Normal wear,,,
12161,Dirty Harry,NES,1125,Game only,Normal wear,,,
12190,Back to the Future,NES,998,Game only,Normal wear,,,
3754,Extreme G,Nintendo 64,449,Manual only,Normal wear,,,
12243,Gauntlet,NES,998,Game only,Normal wear,,,
4161,Super Mario 64 DS,Nintendo DS,1397,Game only,Normal wear,,,
5720,Rygar,Playstation 2,986,"Game, Box, Manual",Normal wear,,,
10298,Aqua Teen Hunger Force Zombie Ninja Pro-Am,Playstation 2,1238,Game only,Normal wear,,,
7141,Super Mario World,Super Nintendo,1523,Game only,Normal wear,,,
3766,Gameshark,Nintendo 64,2071,Accessory only,Normal wear,,,
7376,Marvel Ultimate Alliance,Playstation 2,923,"Game, Box, Manual",Normal wear,,,
6985,Lord of the Rings,Super Nintendo,1521,Game only,Normal wear,,,
5260,Gauntlet Seven Sorrows,Playstation 2,1035,"Game, Box, Manual",Normal wear,,,
5051,Call of Duty Finest Hour,Playstation 2,656,"Game, Box, Manual",Normal wear,,,
9563,Pit-Fighter,Sega Genesis,784,Game only,Normal wear,,,
13827,Sesame Street 123,NES,391,Game only,Normal wear,,,
20089,TNN Motorsports Hardcore 4X4,Playstation,375,"Game, Box, Manual",Normal wear,,,
11863,Columns,Sega Genesis,505,Game only,Normal wear,,,
9667,Road Rash II,Sega Genesis,1200,Game only,Normal wear,,,
5879,Tekken 5,Playstation 2,1087,Game only,Normal wear,,,
9900,Super Street Fighter II,Sega Genesis,1099,Game only,Normal wear,,,
3926,Superman,Nintendo 64,1084,Game only,Normal wear,,,
3461,One Piece Grand Battle,Gamecube,1000,"Game, Box, Manual",Normal wear,,,
12710,Deathtrap Dungeon,Playstation,800,"Game, Box, Manual",Normal wear,,,
11483,Syphon Filter Dark Mirror,Playstation 2,420,Game only,Normal wear,,,
3376,Mario Party 4,Gamecube,6967,"Game, Box",Normal wear,,,
5675,Rayman Arena,Playstation 2,697,"Game, Box, Manual",Normal wear,,,
3684,Army Men Sarge's Heroes,Nintendo 64,1213,Game only,Normal wear,,,
6979,Legend of the Mystical Ninja,Super Nintendo,4731,Game only,Normal wear,,,
49844,Freekstyle [Greatest Hits],Playstation 2,891,"Game, Box, Manual",Normal wear,,,
19987,Atari 2600 System,Atari 2600,2996,Console only,Normal wear,,,
4436,Final Fantasy VIII,Playstation,1733,"Game, Box, Manual",Normal wear,,,
11975,Strider Returns,Sega Genesis,3374,"Game, Box, Manual",Normal wear,,,
11978,Mick and Mack Global Gladiators,Sega Genesis,880,Game only,Normal wear,,,
9736,Shining Wisdom,Sega Saturn,14790,"Game, Box",Normal wear,,,
5831,Star Wars Jedi Starfighter,Playstation 2,691,"Game, Box",Normal wear,,,
22003,Scooby Doo and the Spooky Swamp,Playstation 2,1253,"Game, Box, Manual",Normal wear,,,
5947,Transformers the Game,Playstation 2,544,"Game, Box, Manual",Normal wear,,,
5694,Ridge Racer V,Playstation 2,745,"Game, Box, Manual",Normal wear,,,
15482,Space Invaders,Atari 2600,597,Game only,Normal wear,,,
5150,Drakan Ancients Gates,Playstation 2,903,Game only,Normal wear,,,
9249,Little Nemo The Dream Master,NES,1212,Game only,Normal wear,,,
5124,Digimon Rumble Arena 2,Playstation 2,3827,"Game, Box",Normal wear,,,
12185,Arch Rivals,NES,700,Game only,Normal wear,,,
3564,Spyro A Hero's Tail,Gamecube,1342,"Game, Box, Manual",Normal wear,,,
3327,Harvest Moon Magical Melody,Gamecube,1848,Game only,Normal wear,,,
5131,PK Out of the Shadows,Playstation 2,548,"Game, Box",Normal wear,,,
12487,Tiger-Heli,NES,714,Game only,Normal wear,,,
7020,Mr. Do!,Super Nintendo,4204,Game only,Normal wear,,,
3528,Shadow the Hedgehog,Gamecube,2705,"Game, Box, Manual",Normal wear,,,
5375,Kessen,Playstation 2,450,"Game, Box, Manual",Normal wear,,,
9870,Street Fighter III 3rd Strike: Fight for the Future,Sega Dreamcast,4500,Game only,Normal wear,,,
16148,Persona 4,Playstation 2,1814,"Game, Box, Manual",Normal wear,,,
10506,Dai Senryaku VII Modern Military Tactics,Playstation 2,550,"Game, Box, Manual",Normal wear,,,
15529,Superman,Atari 2600,831,Game only,Normal wear,,,
3421,Naruto Clash of Ninja,Gamecube,642,"Game, Box",Normal wear,,,
12010,Super Mario Bros 2,NES,5191,"Game, Box, Manual",Torn label,,,
12368,Q*bert,NES,759,Game only,Normal wear,,,
5028,Bloodrayne 2,Playstation 2,1503,"Game, Box",Normal wear,,,
11988,Double Dribble,NES,828,"Game, Manual",Normal wear,,,
5760,Silent Scope,Playstation 2,589,"Game, Box, Manual",Normal wear,,,
12518,Wheel of Fortune Junior Edition,NES,488,Game only,Normal wear,,,
6839,Aladdin,Super Nintendo,2058,"Game, Manual",Normal wear,,,
8722,Chessmaster,NES,633,Game only,Normal wear,,,
13719,Sewer Shark,Sega CD,574,Game only,Normal wear,,,
3959,WCW vs NWO World Tour,Nintendo 64,613,Game only,Normal wear,,,
5994,Wild Arms 3,Playstation 2,1800,"Game, Box, Manual",Normal wear,,,
11510,Arc the Lad End of Darkness,Playstation 2,774,"Game, Box",Normal wear,,,
12417,Side Pocket,NES,518,Game only,Normal wear,,,
9788,Sonic Spinball,Sega Genesis,1044,"Game, Box, Manual",Normal wear,,,
2506,Sabre Wulf,GameBoy Advance,4089,"Game, Box, Manual",Normal wear,,,
18945,R-Type,Sega Master System,2200,Game only,Normal wear,,,
3582,Super Bubble Pop,Gamecube,677,"Game, Box, Manual",Normal wear,,,
5743,Shadow of the Colossus,Playstation 2,1499,"Game, Box, Manual",Normal wear,,,
11852,Eye Toy Play,Playstation 2,541,"Game, Box",Normal wear,,,
13844,Batman The Video Game,NES,1283,Game only,Normal wear,,,
3916,Star Wars Shadows of the Empire,Nintendo 64,1470,"Game, Manual",Normal wear,,,
5227,Final Fantasy XII,Playstation 2,678,"Game, Box, Manual",Normal wear,,,
4785,Street Fighter EX Plus Alpha,Playstation,3383,"Game, Box, Manual",Normal wear,,,
3968,WWF Wrestlemania 2000,Nintendo 64,1300,Game only,Normal wear,,,
32817,Space Combat,Atari 2600,600,Game only,Normal wear,,,
3696,Banjo-Kazooie,Nintendo 64,3287,Game only,Normal wear,,,
9781,Sonic and Knuckles,Sega Genesis,1891,Game only,Normal wear,,,
5853,Summoner,Playstation 2,476,Game only,Normal wear,,,
5286,Grand Theft Auto Vice City,Playstation 2,811,"Game, Box, Manual",Normal wear,,,
19592,Wizardry: Proving Grounds of the Mad Overlord,NES,1190,Game only,Normal wear,,,
9117,Home Alone,NES,1049,Game only,Normal wear,,,
12479,The Simpsons Bart vs the Space Mutants,NES,887,Game only,Normal wear,,,
5823,Star Ocean Till the End of Time,Playstation 2,1499,"Game, Box, Manual",Normal wear,,,
6951,Illusion of Gaia,Super Nintendo,1965,Game only,Normal wear,,,
10429,Thrillville,Playstation 2,284,Game only,Normal wear,,,
5081,Contra Shattered Soldier,Playstation 2,1749,"Game, Box, Manual",Normal wear,,,
3399,Metroid Prime 2 Echoes,Gamecube,2210,Game only,Normal wear,,,
10397,Soul Calibur,Sega Dreamcast,3797,"Game, Box, Manual",Normal wear,,,
8755,Comix Zone,Sega Genesis,3486,"Game, Manual",Normal wear,,,
4294,Bushido Blade 2,Playstation,1396,Game only,Normal wear,,,
4781,Street Fighter Alpha 2,Playstation,1371,Game only,Normal wear,,,
9791,Sonic the Hedgehog 3,Sega Genesis,3846,"Game, Box, Manual",Normal wear,,,
12536,Yo Noid,NES,1397,Game only,Normal wear,,,
6492,Ninja Gaiden Black,Xbox,1487,Game only,Normal wear,,,
7139,Super Mario Kart,Super Nintendo,2830,Game only,Normal wear,,,
9222,Laser Invasion,NES,1607,Game only,Normal wear,,,
9472,NHL 96,Sega Genesis,899,"Game, Box, Manual",Normal wear,,,
37637,Final Fantasy Origins [Greatest Hits],Playstation,1269,"Game, Box, Manual",Normal wear,,,
5434,Manhunt,Playstation 2,1690,"Game, Box",Normal wear,,,
7017,Mortal Kombat,Super Nintendo,1362,Game only,Normal wear,,,
6596,Splinter Cell Double Agent,Xbox,980,"Game, Box, Manual",Normal wear,,,
5397,Legaia 2 Duel Saga,Playstation 2,2042,"Game, Box, Manual",Normal wear,,,
8628,Bo Jackson Baseball,NES,1291,"Game, Manual",Normal wear,,,
7155,Super Star Wars Return of the Jedi,Super Nintendo,3500,"Game, Box, Manual",Normal wear,,,
4379,Dino Crisis 2,Playstation,5415,"Game, Box, Manual",Normal wear,,,
5962,Ty the Tasmanian Tiger 3,Playstation 2,1035,Game only,Normal wear,,,
49944,Ratchet and Clank [Greatest Hits],Playstation 2,1044,"Game, Box",Normal wear,,,
6928,Final Fight,Super Nintendo,1255,Game only,Normal wear,,,
12450,Super Glove Ball,NES,500,Game only,Normal wear,,,
5354,Jade Cocoon 2,Playstation 2,2799,"Game, Box, Manual",Normal wear,,,
14148,Devil May Cry 3 [Special Edition],Playstation 2,769,"Game, Box, Manual",Normal wear,,,
3058,Super Mario Bros Deluxe,GameBoy Color,1499,Game only,Normal wear,,,
49870,Jak 3 [Greatest Hits],Playstation 2,823,"Game, Box, Manual",Normal wear,,,
37694,Twisted Metal [Greatest Hits],Playstation,1848,"Game, Box, Manual",Normal wear,,,
12251,Gotcha,NES,560,Game only,Normal wear,,,
3620,Tony Hawk 3,Gamecube,1622,"Game, Box, Manual",Normal wear,,,
5881,Tenchu 3 Wrath of Heaven,Playstation 2,999,Game only,Normal wear,,,
12168,10-Yard Fight,NES,500,Game only,Normal wear,,,
5577,Need for Speed Most Wanted,Playstation 2,1499,"Game, Box, Manual",Normal wear,,,
7142,Super Mario World 2 Yoshi's Island,Super Nintendo,2914,Game only,Normal wear,,,
7400,Naruto Uzumaki Chronicles,Playstation 2,684,"Game, Box, Manual",Normal wear,,,
13824,John Madden Football,Super Nintendo,363,Game only,Normal wear,,,
11027,Shining Force EXA,Playstation 2,3544,"Game, Box, Manual",Normal wear,,,
13716,Zapper Light Gun,NES,1224,Controller only,Normal wear,,,
4811,Tekken 3,Playstation,1319,"Game, Manual",Normal wear,,,
4378,Dino Crisis,Playstation,1666,Game only,Normal wear,,,
5063,Chaos Legion,Playstation 2,1840,"Game, Box, Manual",Normal wear,,,
4438,Final Fantasy Anthology,Playstation,2248,"Game, Box, Manual",Normal wear,,,
14699,Chuck Rock,Sega CD,1595,Game only,Normal wear,,,
5106,Dark Summit,Playstation 2,471,"Game, Box",Normal wear,,,
13171,Sega Saturn Console,Sega Saturn,9238,Console only,Normal wear,,,
5305,Half-Life,Playstation 2,4250,"Game, Box, Manual",Normal wear,,,
5039,Burnout,Playstation 2,764,"Game, Box, Manual",Normal wear,,,
5871,Tak and the Power of JuJu,Playstation 2,900,"Game, Box, Manual",Normal wear,,,
9663,Risk,Sega Genesis,825,"Game, Box, Manual",Normal wear,,,
6902,Donkey Kong Country 3,Super Nintendo,8067,"Game, Box, Manual",Normal wear,,,
7109,Street Fighter II Turbo,Super Nintendo,1370,Game only,Normal wear,,,
49954,Scarface the World is Yours [Greatest Hits],Playstation 2,3436,"Game, Box, Manual",Normal wear,,,
9794,Soul Nomad,Playstation 2,2060,Game only,Normal wear,,,
3505,Resident Evil,Gamecube,2081,"Game, Box, Manual",Normal wear,,,
12316,Major League Baseball,NES,380,Game only,Normal wear,,,
14802,Kao the Kangaroo Round 2,Playstation 2,1049,"Game, Box, Manual",Normal wear,,,
4608,Namco Museum Volume 1,Playstation,420,Game only,Normal wear,,,
5295,Guilty Gear X2,Playstation 2,1200,"Game, Box, Manual",Normal wear,,,
5642,Playstation 2 System,Playstation 2,5186,Console only,Normal wear,,,
13059,Rock 'n Roll Racing,Super Nintendo,3849,Game only,Normal wear,,,
12153,Demon Sword,NES,888,Game only,Normal wear,,,
6592,Spiderman 2,Xbox,917,"Game, Box, Manual",Normal wear,,,
6673,Thief Deadly Shadows,Xbox,598,"Game, Box, Manual",Normal wear,,,
3837,Mortal Kombat Trilogy,Nintendo 64,3176,Game only,Normal wear,,,
49957,Shadow the Hedgehog [Greatest Hits],Playstation 2,1199,"Game, Box, Manual",Normal wear,,,
9457,NFL Blitz 2000,Sega Dreamcast,2149,"Game, Box, Manual",Normal wear,,,
15629,Triple Score,Sega Genesis,660,"Game, Box, Manual",Normal wear,,,
5752,Shinobi,Playstation 2,1426,"Game, Box",Normal wear,,,
4851,Tomb Raider,Playstation,1938,"Game, Box, Manual",Normal wear,,,
12567,Garfield Caught in the Act,Sega Genesis,996,Game only,Normal wear,,,
4533,Legacy of Kain Soul Reaver,Playstation,2187,"Game, Box, Manual",Normal wear,,,
3484,Pokemon XD: Gale of Darkness,Gamecube,8680,"Game, Box",Normal wear,,,
3309,Ghost Recon,Gamecube,529,"Game, Box, Manual",Normal wear,,,
5978,Virtua Fighter 4 Evolution,Playstation 2,508,"Game, Box, Manual",Normal wear,,,
6336,Kung Fu Chaos,Xbox,1259,"Game, Box",Normal wear,,,
5849,Suikoden 3,Playstation 2,2915,"Game, Box, Manual",Normal wear,,,
5122,Devil May Cry 2,Playstation 2,486,"Game, Box, Manual",Normal wear,,,
49968,SOCOM US Navy Seals Combined Assault [Greatest Hits],Playstation 2,675,"Game, Box, Manual",Normal wear,,,
5798,Spiderman,Playstation 2,899,"Game, Box, Manual",Normal wear,,,
9874,Streets of Rage,Sega Genesis,2213,Game only,Normal wear,,,
5103,Dark Angel Vampire Apocalypse,Playstation 2,547,"Game, Box, Manual",Normal wear,,,
3820,Mario Party 2,Nintendo 64,999,Manual only,Normal wear,,,
49950,Red Faction [Greatest Hits],Playstation 2,524,"Game, Box, Manual",Normal wear,,,
